file	section	name	length_m	drop_m	gradient_pct	picked
Ruckel_Creek.kml	0	Approach	4547	-360.7	-7.9	0
Ruckel_Creek.kml	1	Descent	1847	341.5	18.5	1
Ruckel_Creek.kml	2	Descent from Epiphany	1230	276.3	22.5	0
Ruckel_Creek.kml	3	Epiphany Approach	1540	10.7	0.7	0
San_Antonio_Creek.kml	0	Approach Shortcut	1235	-157.6	-12.8	0
San_Antonio_Creek.kml	1	Descent Full	1286	546.4	42.5	1
San_Antonio_Creek.kml	2	Exit	1080	67.1	6.2	0
San_Antonio_Creek.kml	3	Approach Full	3991	-616.3	-15.4	0
San_Antonio_Creek.kml	4	Descent Shortcut	150	93.3	62.3	0
Sandy_Glacier_Caves_(Snow_Dragon).kml	0	Snow Dragon Cave	508	-206.1	-40.6	0
Sandy_Glacier_Caves_(Snow_Dragon).kml	1	Approach	5135	-691.2	-13.5	0
Sandy_Glacier_Caves_(Snow_Dragon).kml	2	PCT Scenic Bypass	1788	-96.5	-5.4	0
Sandy_Glacier_Caves_(Snow_Dragon).kml	3	Traverse	1162	-40.9	-3.5	0
Scorpion_Canyon.kml	0	Approach	3036	-85.4	-2.8	0
Scorpion_Canyon.kml	1	Exit	687	36.0	5.2	0
Scorpion_Canyon.kml	2	Descent	2760	423.0	15.3	1
Scorpion_Canyon.kml	3	Shuttle	17091	-388.6	-2.3	0
Scotty_s_Canyon.kml	0	SCOTTY'S CANYON - up - 3.0 mi - THRU ASHFORD CANYON	4746	-539.7	-11.4	0
Scotty_s_Canyon.kml	1	BS 8. - 11-22-09 -  SCOTTY' CANYON - 2.6 mi	4218	574.3	13.6	1
Sean_s_River_Canyon.kml	0	Approach	1977			0
Sean_s_River_Canyon.kml	1	Descent	526			0
Sean_s_River_Canyon.kml	2	Exit	774			0
Serpent_Canyon.kml	0	SERPENT APPROACH - 1.8 mi	2874	-137.8	-4.8	0
Serpent_Canyon.kml	1	1.5 mi approach - GRAND CANYON - 11-10-12	2463	-187.6	-7.6	0
Serpent_Canyon.kml	2	1. - THE SERPENT CANYON - 11-10-12 - up - 4.9 mi - Saline 1	7818	-916.0	-11.7	0
Serpent_Canyon.kml	3	1. - GRAND CANYON - 11-10-12 -  down - Saline 1	7302	831.8	11.4	1
Serpent_s_Tail.kml	0	Serpent's Tail return	124	-3.9	-3.2	0
Serpent_s_Tail.kml	1	return to Picnic Area	137	7.4	5.4	0
Serpent_s_Tail.kml	2	Serpent's Tail approach	1389	-104.0	-7.5	0
Serpent_s_Tail.kml	3	Serpent's Tail descent	459	108.0	23.5	1
Seven_Teacups.kml	0	2WD Road	1534	91.9	6.0	0
Seven_Teacups.kml	1	4WD Road	3286	55.3	1.7	0
Seven_Teacups.kml	2	Approach	4178	-109.5	-2.6	0
Seven_Teacups.kml	3	Brennen Approach	2900	27.8	1.0	0
Seven_Teacups.kml	4	Descent	450	92.6	20.6	1
Seven_Teacups.kml	5	Exit	3950	16.9	0.4	0
Seven_Teacups.kml	6	River Walk	259	16.8	6.5	0
Shaylee_Birthday_Canyon.kml	0	Approach	3206	149.1	4.7	0
Shaylee_Birthday_Canyon.kml	1	Descent	128	27.5	21.4	1
Shaylee_Birthday_Canyon.kml	2	Exit	3080	-176.7	-5.7	0
Sheepbone_and_Quarry_Canyons_Loop.kml	0	Shuttle (Optional)	1317	-8.5	-0.6	0
Sheepbone_and_Quarry_Canyons_Loop.kml	1	Exit	1552	85.7	5.5	0
Sheepbone_and_Quarry_Canyons_Loop.kml	2	Descent Quarry	1294	192.6	14.9	1
Sheepbone_and_Quarry_Canyons_Loop.kml	3	Ascent Sheepbone	1118	-130.4	-11.7	0
Sheepbone_and_Quarry_Canyons_Loop.kml	4	Connection	566	-27.9	-4.9	0
Sheepbone_and_Quarry_Canyons_Loop.kml	5	Approach	1936	-112.0	-5.8	0
Shinob_Canyon_(Timpie_Fork).kml	0	Shinob Canyon - Approach	1905	-159.4	-8.4	0
Shinob_Canyon_(Timpie_Fork).kml	1	Shinob Canyon - Exit	437	5.7	1.3	0
Shinob_Canyon_(Timpie_Fork).kml	2	Grand Wash Road	434	7.8	1.8	0
Shinob_Canyon_(Timpie_Fork).kml	3	Shinob Canyon - Approach	787	-29.5	-3.7	0
Shinob_Canyon_(Timpie_Fork).kml	4	Timpe Fork of Shinob Canyon - Descent	425	133.5	31.4	1
Shinob_Canyon_(Timpie_Fork).kml	5	Timpe Fork of Shinob Canyon - Descent	53	20.5	38.8	0
Shinob_Canyon_(Timpie_Fork).kml	6	Shinob Canyon - Exit	527	21.5	4.1	0
Skyline_Canyon.kml	0	Skyline descent	113	104.1	91.9	1
Skyline_Canyon.kml	1	Skyline approach	515	31.2	6.1	0
